时间,SN,工作模式,模式序号,执行顺序进度,最终扭矩,最终角度,监控角度,执行时间,拧紧结果状态,NG结果
2024-05-28 09:14:14,47,pset模式,job[2]/Pset[4],2/3,0.0206,173.8,174.6,1.728,拧紧合格,拧紧合格
2024-05-28 09:14:19,47,pset模式,job[2]/Pset[4],2/3,0.0200,347.3,347.7,3.181,拧紧合格,拧紧合格
2024-05-28 09:14:26,47,pset模式,job[2]/Pset[4],2/3,0.0199,129.9,130.6,1.370,拧紧合格,拧紧合格
2024-05-28 09:14:35,47,pset模式,job[2]/Pset[4],2/3,0.0202,167.0,167.9,1.699,拧紧合格,拧紧合格
2024-05-28 09:16:00,22,job模式,job[2]/Pset[4],1/3,0.0208,115.8,117.3,1.229,拧紧合格,拧紧合格
2024-05-28 09:16:02,22,job模式,job[2]/Pset[4],2/3,0.0210,97.9,98.6,1.033,拧紧合格,拧紧合格
2024-05-28 09:16:04,22,job模式,job[2]/Pset[4],3/3,0.0202,102.3,102.3,1.087,拧紧合格,拧紧合格
2024-05-28 09:16:18,22,job模式,job[2]/Pset[4],1/3,0.0203,126.7,127.4,1.292,拧紧合格,拧紧合格
2024-05-28 09:16:19,22,job模式,job[2]/Pset[4],2/3,0.0204,126.2,128.3,1.339,拧紧合格,拧紧合格
2024-05-28 09:16:21,22,job模式,job[2]/Pset[4],3/3,0.0203,114.7,115.4,1.236,拧紧合格,拧紧合格
2024-05-28 09:16:26,22,job模式,job[2]/Pset[4],1/3,0.0052,235.4,235.4,1.495,拧紧不合格,系统急停
2024-05-28 09:16:28,22,job模式,job[2]/Pset[4],1/3,0.0049,85.0,85.0,0.185,拧紧不合格,系统急停
2024-05-28 09:16:29,22,job模式,job[2]/Pset[4],1/3,0.0057,84.5,84.6,0.165,拧紧不合格,系统急停
2024-05-28 09:16:30,22,job模式,job[2]/Pset[4],1/3,0.0056,85.2,85.2,0.150,拧紧不合格,系统急停
2024-05-28 09:16:31,22,job模式,job[2]/Pset[4],1/3,0.0048,85.1,85.1,0.165,拧紧不合格,系统急停
2024-05-28 09:16:32,22,job模式,job[2]/Pset[4],1/3,0.0056,84.7,84.7,0.140,拧紧不合格,系统急停
2024-05-28 09:16:33,22,job模式,job[2]/Pset[4],1/3,0.0039,85.6,85.6,0.157,拧紧不合格,系统急停
2024-05-28 09:16:34,22,job模式,job[2]/Pset[4],1/3,0.0036,64.5,64.6,0.120,拧紧不合格,系统急停
2024-05-28 09:16:41,22,job模式,job[2]/Pset[4],1/3,0.0199,95.4,96.1,1.071,拧紧合格,拧紧合格
2024-05-28 09:16:44,22,job模式,job[2]/Pset[4],2/3,0.0205,121.2,121.2,1.256,拧紧合格,拧紧合格
2024-05-28 09:16:47,22,job模式,job[2]/Pset[4],3/3,0.0209,128.4,128.7,1.335,拧紧合格,拧紧合格
2024-05-28 10:43:24,,job模式,job[2]/Pset[4],1/3,0.0203,300.2,301.0,2.819,拧紧合格,拧紧合格
2024-05-28 10:45:16,,job模式,job[2]/Pset[4],2/3,0.0056,180.9,180.8,1.025,拧紧不合格,系统急停
2024-05-28 10:49:41,,job模式,job[2]/Pset[4],2/3,0.0056,85.5,85.4,0.185,拧紧不合格,系统急停
2024-05-28 10:49:42,,job模式,job[2]/Pset[4],2/3,0.0044,85.4,85.4,0.165,拧紧不合格,系统急停
2024-05-28 10:49:43,,job模式,job[2]/Pset[4],2/3,0.0039,65.5,65.5,0.120,拧紧不合格,系统急停
2024-05-28 10:49:44,,job模式,job[2]/Pset[4],2/3,0.0042,84.6,84.7,0.165,拧紧不合格,系统急停
2024-05-28 10:49:45,,job模式,job[2]/Pset[4],2/3,0.0049,84.1,84.1,0.140,拧紧不合格,系统急停
2024-05-28 11:20:20,,job模式,job[2]/Pset[4],2/3,0.0202,434.1,436.2,3.890,拧紧合格,拧紧合格
2024-05-28 13:01:44,32,job模式,job[2]/Pset[4],3/3,0.0207,484.4,486.2,4.346,拧紧合格,拧紧合格
2024-05-28 13:01:53,3254754,job模式,job[2]/Pset[4],1/3,0.0204,164.7,167.4,1.657,拧紧合格,拧紧合格
2024-05-28 13:01:54,3254754,job模式,job[2]/Pset[4],2/3,0.0200,108.9,110.9,1.128,拧紧合格,拧紧合格
2024-05-28 13:01:56,3254754,job模式,job[2]/Pset[4],3/3,0.0201,115.3,115.8,1.196,拧紧合格,拧紧合格
2024-05-28 13:02:04,325475488,job模式,job[2]/Pset[4],1/3,0.0200,135.9,136.4,1.412,拧紧合格,拧紧合格
2024-05-28 13:02:06,325475488,job模式,job[2]/Pset[4],2/3,0.0207,115.4,116.1,1.237,拧紧合格,拧紧合格
2024-05-28 13:02:09,325475488,job模式,job[2]/Pset[4],3/3,0.0046,179.7,179.7,1.025,拧紧不合格,系统急停
2024-05-28 13:02:11,325475488,job模式,job[2]/Pset[4],3/3,0.0044,113.2,113.2,0.475,拧紧不合格,系统急停
2024-05-28 13:02:13,325475488,job模式,job[2]/Pset[4],3/3,0.0054,137.9,137.8,0.675,拧紧不合格,系统急停
2024-05-28 13:02:15,325475488,job模式,job[2]/Pset[4],3/3,0.0205,121.3,121.5,1.229,拧紧合格,拧紧合格
2024-05-28 13:12:45,1,job模式,job[2]/Pset[4],1/3,0.0199,1678.1,1678.5,13.506,拧紧合格,拧紧合格
2024-05-28 13:12:50,1,job模式,job[2]/Pset[4],2/3,0.0204,295.3,295.7,1.620,拧紧合格,拧紧合格
2024-05-28 13:12:53,1,job模式,job[2]/Pset[4],3/3,0.0199,191.7,204.6,1.538,拧紧合格,拧紧合格
2024-05-28 13:13:04,1,job模式,job[2]/Pset[4],1/3,0.0199,199.3,199.5,1.418,拧紧合格,拧紧合格
2024-05-28 13:13:07,1,job模式,job[2]/Pset[4],2/3,0.0204,286.5,316.9,2.064,拧紧合格,拧紧合格
2024-05-28 13:13:09,1,job模式,job[2]/Pset[4],3/3,0.0207,168.5,185.5,1.386,拧紧合格,拧紧合格
2024-05-28 13:13:19,1,job模式,job[2]/Pset[4],1/3,0.0203,707.2,729.1,4.070,拧紧合格,拧紧合格
2024-05-28 13:13:23,1,job模式,job[2]/Pset[4],2/3,0.0200,163.8,164.0,1.585,拧紧合格,拧紧合格
2024-05-28 13:13:26,1,job模式,job[2]/Pset[4],3/3,0.0045,93.8,94.1,0.584,拧紧不合格,系统急停
2024-05-28 13:13:29,1,job模式,job[2]/Pset[4],3/3,0.0038,97.7,97.7,0.576,拧紧不合格,系统急停
2024-05-28 13:13:32,1,job模式,job[2]/Pset[4],3/3,0.0047,153.8,153.8,0.875,拧紧不合格,系统急停
2024-05-28 13:13:35,1,job模式,job[2]/Pset[4],3/3,0.0203,260.2,260.5,2.402,拧紧合格,拧紧合格
2024-05-28 14:45:06,0,job模式,job[2]/Pset[4],1/3,0.0202,487.4,488.3,4.331,拧紧合格,拧紧合格
2024-05-28 14:45:08,0,job模式,job[2]/Pset[4],2/3,0.0204,129.2,129.4,1.362,拧紧合格,拧紧合格
2024-05-28 14:45:10,0,job模式,job[2]/Pset[4],3/3,0.0208,146.6,146.6,1.491,拧紧合格,拧紧合格
2024-05-28 14:46:05,0,job模式,job[2]/Pset[4],1/3,0.0200,137.8,139.5,1.423,拧紧合格,拧紧合格
2024-05-28 14:46:06,0,job模式,job[2]/Pset[4],2/3,0.0203,115.3,116.6,1.197,拧紧合格,拧紧合格
2024-05-28 14:46:08,0,job模式,job[2]/Pset[4],3/3,0.0210,97.3,97.0,1.066,拧紧合格,拧紧合格
2024-05-28 14:47:56,45,job模式,job[2]/Pset[4],1/3,0.0204,147.3,147.4,1.462,拧紧合格,拧紧合格
2024-05-28 14:47:58,45,job模式,job[2]/Pset[4],2/3,0.0201,103.5,103.5,1.094,拧紧合格,拧紧合格
2024-05-28 14:48:00,45,job模式,job[2]/Pset[4],3/3,0.0204,99.7,100.4,1.097,拧紧合格,拧紧合格
2024-05-28 14:58:05,0,job模式,job[2]/Pset[4],1/3,0.0208,126.8,127.8,1.276,拧紧合格,拧紧合格
2024-05-28 14:58:06,0,job模式,job[2]/Pset[4],2/3,0.0199,90.7,91.4,1.015,拧紧合格,拧紧合格
2024-05-28 14:58:07,0,job模式,job[2]/Pset[4],3/3,0.0204,79.1,79.3,0.902,拧紧合格,拧紧合格
2024-05-28 14:58:44,0,job模式,job[2]/Pset[4],1/3,0.0199,135.5,135.7,1.474,拧紧合格,拧紧合格
2024-05-28 14:58:45,0,job模式,job[2]/Pset[4],2/3,0.0201,78.8,79.5,0.894,拧紧合格,拧紧合格
2024-05-28 14:58:47,0,job模式,job[2]/Pset[4],3/3,0.0202,83.4,84.1,0.956,拧紧合格,拧紧合格
2024-05-28 15:00:03,0,job模式,job[2]/Pset[4],1/3,0.0203,122.6,123.6,1.271,拧紧合格,拧紧合格
2024-05-28 15:00:04,0,job模式,job[2]/Pset[4],2/3,0.0218,64.7,64.9,0.832,拧紧合格,拧紧合格
2024-05-28 15:00:05,0,job模式,job[2]/Pset[4],3/3,0.0205,59.2,59.6,0.825,拧紧合格,拧紧合格
2024-05-28 15:00:37,0,job模式,job[2]/Pset[4],1/3,0.0199,93.4,93.9,1.005,拧紧合格,拧紧合格
2024-05-28 15:00:39,0,job模式,job[2]/Pset[4],2/3,0.0199,218.1,218.9,2.073,拧紧合格,拧紧合格
2024-05-28 15:00:41,0,job模式,job[2]/Pset[4],3/3,0.0199,109.4,109.5,1.184,拧紧合格,拧紧合格
2024-05-28 15:01:06,04,job模式,job[2]/Pset[4],1/3,0.0209,92.2,92.9,0.945,拧紧合格,拧紧合格
2024-05-28 15:01:07,04,job模式,job[2]/Pset[4],2/3,0.0203,68.9,69.4,0.860,拧紧合格,拧紧合格
2024-05-28 15:01:08,04,job模式,job[2]/Pset[4],3/3,0.0203,73.3,74.3,0.844,拧紧合格,拧紧合格
